Study,Authors,First Author,Year,Venue,Reason for Multiple,Exclude All Multiple Entries,Exclude Save Age,Exclude Save Context,Exclude Save Age Context,Exclude Save SP,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Skill,Actual Task(s),Actual Outcome Measure(s),Statistical Test(s),N Raters,Rater Profile
36.2,Knouse,Knouse,13,FLA,Groups (SL vs. FL),Yes,No,No,No,Yes,6 weeks,1.5,0–4,2,Equal,,10,,Adult,Foreign,Yes,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,"text reading, open-ended response",acoustic measure (production of regional /?/),Descriptive,,
37.1,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),No,Yes,No,No,No,3 months,3,0–4,2,Equal,"pre-program, post-program",28,10.4,Adolescent,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.2,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,No,No,No,Yes,3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,10.4,Adolescent,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.3,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,Yes,Yes,No,Yes,3 months,3,0–4,2,Equal,"pre-program, post-program",28,22.36,Adult,Second,Yes,SL SA,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
37.4,Munoz Llanes,Munoz,14,MLJ,Groups (SL vs. FL; Age),Yes,No,Yes,No,Yes,3 months,3,0–4,2,Equal,"pre-departure, post-departure",27,22.36,Adult,Foreign,Yes,FL,Catalan-Spanish,English,Production - Global,Production - Controlled,Production - Rated,Production,"interview, story narration","prevelance of foreign accent (1=no FA, 7= very strong FA)",ANOVA,28,Novice/Untrained
38.1,Saito Sun Tierney,Saito,20,AP,SP Coding (Rated and Coded),No,Yes,Yes,Yes,No,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Coded,Production,Timed Pictured Description ,"Breakdown, Speed",Mixed models,2,Expert/Trained
38.2,Saito Sun Tierney,Saito,20,AP,SP Coding (Rated and Coded),Yes,No,No,No,No,8 months,8,4–8,2,Equal,,30,23.5,Adult,Second,Yes,SL SA,Mandarin,English,Production - Specific,Production - Spontaneous,Production - Rated,Production,Timed Pictured Description ,"Segmental, Word Stress, Intonation, Tempo",Mixed models,5,Expert/Trained
39,Zielinski Pryor,Zielinski,20,JSLP,,No,No,No,No,No,10 months,10,8–12,4,Equal,,14,,Adult,Second,Yes,SL,Various,English,Production - Global,Production - Spontaneous,Production - Rated,Production,"Interview, Prompt Questions","Comprehensibility (5-point scale), Patterns of Language Use",Descriptive,10,Expert/Trained
40.1,Nagle,Nagle,20,LL,"Perception-Production, SP Task",No,No,No,No,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Perception,Perception,Perception,Perception,Oddity,Perceptual Sensitivity (A'),Mixed models,,
40.2,Nagle,Nagle,20,LL,"Perception-Production, SP Task",Yes,Yes,Yes,Yes,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,Production,Delayed Repetition,VOT,Mixed models,,
40.3,Nagle,Nagle,20,LL,"Perception-Production, SP Task",Yes,Yes,Yes,Yes,No,8 months,8,4–8,8,Equal,,30,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Spontaneous,Production - Coded,Production,Picture Description,VOT,Mixed models,,
