"NOTE: Coding book to accompany, Nagle, C. L. (in press). Assessing the state of the art in longitudinal L2 pronunciation research: Trends and future directions. Journal of Second Language Pronunciation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study,Authors,First Author,Year (20XX),Venue,Reason for Multiple,Total Length,Length Months,Length Bin,Data Points,Data Spacing,Unequal Specification,N Speakers,Participant Age,Participant Age Bin,Context,Immersion or SA?,Expanded Context,L1,L2,SP Construct,SP Task,SP Coding,Actual Tasks,Actual Outcome Measures,Statistical Tests,N Raters/Coders,Rater Profile
17,Nagle,Nagle,19,AL,,2 semesters,8,4–8,5,Equal,,26,,Adult,Foreign,,FL,English,Spanish,Production - Specific,Production - Controlled,Production - Coded,"Sentence Reading, Sentence Formation",VOT in word-initial Spanish stops,Spanish /b/ /p/ VOT,Mixed models,
18.1,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Comprehensibility Rating (0 = Heavily Accented, 1,000 = Little Accent)",t-test,5,Novice/Untrained
18.2,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Segmentals, Prosody, Fluency ",t-test,5,Expert/Trained
18.3,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,19.2,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Timed Pictured Description ,"Global, Phon., Temporal, Lexical, Grammatical Gain Scores",t-test,5,Expert/Trained
18.4,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Comprehensibility Rating (0 = Heavily Accented, 1,000 = Little Accent)",t-test,5,Novice/Untrained
18.5,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Segmentals, Prosody, Fluency ",t-test,5,Expert/Trained
18.6,Saito Akiyama,Saito,17,LL,"Groups (Interaction), SP Construct",1 semester,4,0–4,2,Equal,,30,18.9,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Timed Pictured Description ,"Global, Phon., Temporal, Lexical, Grammatical Gain Scores",t-test,5,Expert/Trained
19,Saito Hanzawa,Saito,18,LTR,,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Lexical Appropriatness & Richness, Grammatical Accuracy & Complexity",t-test,5,Expert/Trained
20.1,Saito,Saito,19,SLR,SP Task,1 semester,4,0–4,2,Equal,,40,,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Controlled,Production - Coded,Word & Sentence Reading,Linguistic Awarness (Explicit Attention And Articulatory Knowledge),ANOVA,,
20.2,Saito,Saito,19,SLR,SP Task,1 semester,4,0–4,2,Equal,,40,,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Timed Picture Description,Linguistic Awarness (Explicit Attention And Articulatory Knowledge),ANOVA,,
21,Saito Dewaele Abe ln'nami,Saito,18,LL,,1 semester,4,0–4,2,Equal,,108,15.5,Adolescent,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Telephone Standard Speaking Test,Comprehensibility (9-Point Scale),Correlation,5,Expert/Trained
22,Saito Dewaele Hanzawa,Saito,17,LS,,1 semester,4,0–4,2,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Perceived Comprehensibility And Accentedness (0 = Hard To Understand 1,000 = Easy To Understand)",ANOVA,5,Novice/Untrained
23.1,Saito Suzukida Sun,Saito,19,SSLA,SP Construct,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Global,Production - Spontaneous,Production - Rated,Timed Pictured Description ,"Comprehensibility (1,000 Point Scale)",Descriptive,5,Novice/Untrained
23.2,Saito Suzukida Sun,Saito,19,SSLA,SP Construct,2 semesters,8,4–8,3,Equal,,40,18.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Timed Pictured Description ,"Segmental, Syllabic, Prosodic Analysis",Descriptive,,
24.1,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Picture Description,Lexical Analysis,ANOVA,,
24.2,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,20.5,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Picture Description,Pronunciation Analysis ,ANOVA,8,Expert/Trained
24.3,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,18.8,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Picture Description,Lexical Analysis,ANOVA,,
24.4,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,18.8,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Picture Description,Pronunciation Analysis ,ANOVA,8,Expert/Trained
24.5,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,18.6,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Coded,Picture Description,Lexical Analysis,ANOVA,,
24.6,Saito Suzuki Oyama Akiyama,Saito,20,SLR,"Groups, SP Construct",1 semester,4,0–4,2,Equal,,30,18.6,Adult,Foreign,,FL,Japanese,English,Production - Specific,Production - Spontaneous,Production - Rated,Picture Description,Pronunciation Analysis ,ANOVA,8,Expert/Trained
25.1,Sturm,Sturm,19,FLA,,4 semesters,16,8–12,8,Equal,,4,,Adult,Foreign,,FL,English,French,Production - Specific,Production - Controlled,Production - Coded,Reading-Based Self Recording,# Of Correctly Pronounced Syllables,Descriptive,,
25.2,Sturm,Sturm,19,FLA,,2 semesters,8,4–8,4,Equal,,53,,Adult,Foreign,,FL,English,French,Production - Specific,Production - Controlled,Production - Coded,Reading-Based Self Recording,# Of Correctly Pronounced Syllables,Descriptive,,
